seq_len,acc,recall,precision,f1
1.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,0.5,0.5
17.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529412
9.0,1.0,1.0,1.0,1.0
16.0,0.875,0.875,0.875,0.875
1.0,1.0,1.0,1.0,1.0
7.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0
9.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
14.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
7.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0
18.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
10.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
4.0,0.75,0.75,0.75,0.75
18.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
6.0,1.0,1.0,1.0,1.0
3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0
8.0,0.75,0.75,0.75,0.75
1.0,1.0,1.0,1.0,1.0
16.0,0.8125,0.8125,0.8125,0.8125
2.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
15.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
15.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
3.0,1.0,1.0,1.0,1.0
14.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
6.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
12.0,0.75,0.75,0.75,0.75
21.0,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191
12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
13.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
4.0,1.0,1.0,1.0,1.0
10.0,0.8,0.8,0.8,0.8000000000000002
13.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0
12.0,0.75,0.75,0.75,0.75
6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
17.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529412
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,0.8,0.8000000000000002
3.0,1.0,1.0,1.0,1.0
8.0,0.75,0.75,0.75,0.75
7.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
14.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
3.0,1.0,1.0,1.0,1.0
20.0,0.85,0.85,0.85,0.85
1.0,1.0,1.0,1.0,1.0
17.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
9.0,1.0,1.0,1.0,1.0
9.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
9.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
2.0,0.5,0.5,0.5,0.5
2.0,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0
42.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
51.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
8.0,1.0,1.0,1.0,1.0
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
13.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
5.0,0.8,0.8,0.8,0.8000000000000002
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3.0,1.0,1.0,1.0,1.0
7.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
21.0,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
8.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0
8.0,0.75,0.75,0.75,0.75
2.0,1.0,1.0,1.0,1.0
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
19.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
3.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
15.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
11.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0
6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
4.0,1.0,1.0,1.0,1.0
8.0,0.875,0.875,0.875,0.875
1.0,1.0,1.0,1.0,1.0
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
13.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,0.8,0.8000000000000002
5.0,1.0,1.0,1.0,1.0
25.0,0.72,0.72,0.72,0.72
13.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
8.0,0.75,0.75,0.75,0.75
17.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529412
14.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,0.8,0.8000000000000002
21.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
6.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0
13.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
13.0,1.0,1.0,1.0,1.0
9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
